id;data;qtd
878;2016-10-25;17229279
879;2016-10-26;15750345
880;2016-10-27;15473229
881;2016-10-28;16114532
882;2016-10-29;3718768
883;2016-10-30;1717087
884;2016-10-31;20305799
885;2016-11-01;18998396
886;2016-11-02;3746145
887;2016-11-03;19715357
888;2016-11-04;19732901
889;2016-11-05;4609972
890;2016-11-06;2652556
891;2016-11-07;25522829
892;2016-11-08;19983811
893;2016-11-09;18314669
894;2016-11-10;21021426
895;2016-11-11;18955892
896;2016-11-12;4460939
897;2016-11-13;1992269
898;2016-11-14;19467470
899;2016-11-15;3795613
900;2016-11-16;21931405
901;2016-11-17;17899935
902;2016-11-18;18991271
903;2016-11-19;4161089
904;2016-11-20;2642521
905;2016-11-21;23221231
906;2016-11-22;17448795
907;2016-11-23;16520857
908;2016-11-24;15995779
909;2016-11-25;17887459
910;2016-11-26;3965397
911;2016-11-27;2426404
912;2016-11-28;20195294
913;2016-11-29;17034144
914;2016-11-30;20272818
915;2016-12-01;20008508
916;2016-12-02;19920559
917;2016-12-03;5337363
918;2016-12-04;3617330
919;2016-12-05;25144387
920;2016-12-06;21976300
921;2016-12-07;21689433
922;2016-12-08;16294645
923;2016-12-09;17663020
924;2016-12-10;4479752
925;2016-12-11;2580061
926;2016-12-12;25260743
927;2016-12-13;18934515
928;2016-12-14;18512230
929;2016-12-15;20475440
930;2016-12-16;19110562
931;2016-12-17;4369143
932;2016-12-18;2470911
933;2016-12-19;23033292
934;2016-12-20;24615793
935;2016-12-21;19721462
936;2016-12-22;18540735
937;2016-12-23;17476775
938;2016-12-24;3694916
939;2016-12-25;1704819
940;2016-12-26;18493632
941;2016-12-27;15857449
942;2016-12-28;16128006
943;2016-12-29;17399760
944;2016-12-30;8179774
945;2016-12-31;3229649
946;2017-01-01;1869312
947;2017-01-02;20277989
948;2017-01-03;19140693
949;2017-01-04;17945458
950;2017-01-05;19689034
951;2017-01-06;21614808
952;2017-01-07;4732423
953;2017-01-08;2559725
954;2017-01-09;25092335
955;2017-01-10;23877096
956;2017-01-11;20126019
957;2017-01-12;18470710
958;2017-01-13;19948161
959;2017-01-14;4367736
960;2017-01-15;2478671
961;2017-01-16;24009264
962;2017-01-17;18649422
963;2017-01-18;17771773
964;2017-01-19;17627078
965;2017-01-20;19797994
966;2017-01-21;4201361
967;2017-01-22;2290844
968;2017-01-23;21130176
969;2017-01-24;18103768
970;2017-01-25;18205700
971;2017-01-26;16938508
972;2017-01-27;17278006
973;2017-01-28;4079917
974;2017-01-29;2344924
975;2017-01-30;21281726
976;2017-01-31;20208831
977;2017-02-01;19969710
978;2017-02-02;18679248
979;2017-02-03;20076508
980;2017-02-04;4809425
981;2017-02-05;2700002
982;2017-02-06;25285631
983;2017-02-07;22618699
984;2017-02-08;19620800
985;2017-02-09;19688621
986;2017-02-10;22993503
987;2017-02-11;4660837
988;2017-02-12;2591872
989;2017-02-13;23954832
990;2017-02-14;19960085
991;2017-02-15;21719017
992;2017-02-16;18750018
993;2017-02-17;19238374
994;2017-02-18;4674501
995;2017-02-19;2819159
996;2017-02-20;26870114
997;2017-02-21;20233602
998;2017-02-22;19340744
999;2017-02-23;19167116
1000;2017-02-24;22073816
1001;2017-02-25;4501545
1002;2017-02-26;2167637
1003;2017-02-27;5096345
1004;2017-02-28;3544450
1005;2017-03-01;25592938
1006;2017-03-02;23480012
1007;2017-03-03;23170904
1008;2017-03-04;5591268
1009;2017-03-05;3263315
1010;2017-03-06;28437292
1011;2017-03-07;24862622
1012;2017-03-08;21865136
1013;2017-03-09;20870326
1014;2017-03-10;25168878
1015;2017-03-11;5139119
1016;2017-03-12;2860302
1017;2017-03-13;25513472
1018;2017-03-14;21172918
1019;2017-03-15;23067065
1020;2017-03-16;19861956
1021;2017-03-17;13326273
1022;2017-03-18;3689628
1023;2017-03-19;2739348
1024;2017-03-20;24865524
1025;2017-03-21;21960772
1026;2017-03-22;21348524
1027;2017-03-23;20713893
1028;2017-03-24;20704852
1029;2017-03-25;5283453
1030;2017-03-26;3116542
1031;2017-03-27;24438039
1032;2017-03-28;20159092
1033;2017-03-29;19621635
1034;2017-03-30;20641508
1035;2017-03-31;22738194
1036;2017-04-01;5976092
1037;2017-04-02;3700740
1038;2017-04-03;28579610
1039;2017-04-04;24416236
1040;2017-04-05;27645835
1041;2017-04-06;27280356
1042;2017-04-07;28433805
1043;2017-04-08;6214697
1044;2017-04-09;3846667
1045;2017-04-10;35056970
1046;2017-04-11;26215423
1047;2017-04-12;24695623
1048;2017-04-13;23053971
1049;2017-04-14;4007623
1050;2017-04-15;4682163
1051;2017-04-16;3195697
1052;2017-04-17;31842560
1053;2017-04-18;24353181
1054;2017-04-19;23686487
1055;2017-04-20;28275776
1056;2017-04-21;4854834
1057;2017-04-22;4846796
1058;2017-04-23;3234372
1059;2017-04-24;28296961
1060;2017-04-25;25194957
1061;2017-04-26;22818188
1062;2017-04-27;23245352
1063;2017-04-28;25028605
1064;2017-04-29;5659998
1065;2017-04-30;2880735
