id;data;qtd
871;2018-05-20;1711412
872;2018-05-21;13135742
873;2018-05-22;10510079
874;2018-05-23;9781750
875;2018-05-24;8790623
876;2018-05-25;9774887
877;2018-05-26;2538363
878;2018-05-27;1506797
879;2018-05-28;10783883
880;2018-05-29;9844875
881;2018-05-30;10932722
882;2018-05-31;2700801
883;2018-06-01;10912014
884;2018-06-02;3210847
885;2018-06-03;1959275
886;2018-06-04;13871919
887;2018-06-05;13078383
888;2018-06-06;13121457
889;2018-06-07;12756921
890;2018-06-08;11893228
891;2018-06-09;3398798
892;2018-06-10;2130793
893;2018-06-11;15649649
894;2018-06-12;11702194
895;2018-06-13;10388534
896;2018-06-14;10408812
897;2018-06-15;11927021
898;2018-06-16;2999977
899;2018-06-17;1620065
900;2018-06-18;12328201
901;2018-06-19;11184343
902;2018-06-20;12615729
903;2018-06-21;10292095
904;2018-06-22;8737644
905;2018-06-23;2862984
906;2018-06-24;1690261
907;2018-06-25;12396865
908;2018-06-26;10437145
909;2018-06-27;8084303
910;2018-06-28;10263015
911;2018-06-29;11290527
912;2018-06-30;3163345
913;2018-07-01;2080445
914;2018-07-02;12372344
915;2018-07-03;11201695
916;2018-07-04;12074088
917;2018-07-05;13469324
918;2018-07-06;11212667
919;2018-07-07;3707751
920;2018-07-08;2107736
921;2018-07-09;13581939
922;2018-07-10;14587671
923;2018-07-11;12267329
924;2018-07-12;11087655
925;2018-07-13;11028804
926;2018-07-14;3125343
927;2018-07-15;1875257
928;2018-07-16;13836278
929;2018-07-17;11427401
930;2018-07-18;9944535
931;2018-07-19;9751126
932;2018-07-20;8543672
933;2018-07-23;9965098
934;2018-07-24;9887348
935;2018-07-25;9949858
936;2018-07-26;9049557
937;2018-07-27;9487211
938;2018-07-28;2628977
939;2018-07-29;1601516
940;2018-07-30;11783061
941;2018-07-31;11209748
942;2018-08-01;11791516
943;2018-08-02;11016500
944;2018-08-03;11842287
945;2018-08-04;3284210
946;2018-08-05;1926894
947;2018-08-06;14607839
948;2018-08-07;12747637
949;2018-08-08;11825382
950;2018-08-09;10948158
951;2018-08-10;12607248
952;2018-08-11;3004789
953;2018-08-12;1627905
954;2018-08-13;13218849
955;2018-08-14;11182448
956;2018-08-15;10605387
957;2018-08-16;10528042
958;2018-08-17;10440074
959;2018-08-18;2802945
960;2018-08-19;1701834
961;2018-08-20;14340569
962;2018-08-21;10884663
963;2018-08-22;9996390
964;2018-08-23;9400076
965;2018-08-24;9642017
966;2018-08-25;2633968
967;2018-08-26;1586978
968;2018-08-27;11779657
969;2018-08-28;9986051
970;2018-08-29;9539798
971;2018-08-30;10092627
972;2018-08-31;10970286
973;2018-09-01;3270337
974;2018-09-02;1875529
975;2018-09-03;14198158
976;2018-09-04;11954954
977;2018-09-05;12801301
978;2018-09-06;13935972
979;2018-09-07;2548556
980;2018-09-08;2727418
981;2018-09-09;1931998
982;2018-09-10;16589808
983;2018-09-11;12919435
984;2018-09-12;11200318
985;2018-09-13;10381647
986;2018-09-14;10538339
987;2018-09-15;2835971
988;2018-09-16;1681533
989;2018-09-17;12974058
990;2018-09-18;10596224
991;2018-09-19;10179883
992;2018-09-20;11732823
993;2018-09-21;10180435
994;2018-09-22;2808132
995;2018-09-23;1650906
996;2018-09-24;12086485
997;2018-09-25;10667890
998;2018-09-26;9786002
999;2018-09-27;9603455
1000;2018-09-28;11015037
1001;2018-09-29;2846758
1002;2018-09-30;1777570
1003;2018-10-01;13834673
1004;2018-10-02;11762925
1005;2018-10-03;11491572
1006;2018-10-04;11157579
1007;2018-10-05;14160697
1008;2018-10-06;3356826
1009;2018-10-07;1698021
1010;2018-10-08;13745761
1011;2018-10-09;11917999
1012;2018-10-10;13205155
1013;2018-10-11;11872177
1014;2018-10-12;2304645
1015;2018-10-13;2533407
1016;2018-10-14;1737636
1017;2018-10-15;14971254
1018;2018-10-16;11557435
1019;2018-10-17;10580195
1020;2018-10-18;9865731
1021;2018-10-19;11098830
1022;2018-10-20;2940727
1023;2018-10-21;1662756
1024;2018-10-22;13022168
1025;2018-10-23;10391660
1026;2018-10-24;9622434
1027;2018-10-25;10066257
1028;2018-10-26;9781485
1029;2018-10-27;2691537
1030;2018-10-28;1435262
1031;2018-10-29;11280370
1032;2018-10-30;10537521
1033;2018-10-31;10846690
1034;2018-11-01;11709636
1035;2018-11-02;2592883
1036;2018-11-03;2877404
1037;2018-11-04;1956775
1038;2018-11-05;16812099
1039;2018-11-06;14169158
1040;2018-11-07;14363557
1041;2018-11-08;12512729
1042;2018-11-09;12068155
1043;2018-11-10;3374686
1044;2018-11-11;2029855
1045;2018-11-12;15794889
1046;2018-11-13;12435579
1047;2018-11-14;11929045
1048;2018-11-15;2748958
1049;2018-11-16;11319188
1050;2018-11-17;2914853
1051;2018-11-18;1846670
1052;2018-11-19;13735963
1053;2018-11-20;12524681
1054;2018-11-21;11584377
1055;2018-11-22;10667761
1056;2018-11-23;10715609
1057;2018-11-24;3122665
1058;2018-11-25;1824823
1059;2018-11-26;13088824
1060;2018-11-27;11038090
1061;2018-11-28;10843925
1062;2018-11-29;10835085
1063;2018-11-30;13398183
1064;2018-12-01;3821101
1065;2018-12-02;2177698
1066;2018-12-03;15010883
1067;2018-12-04;13401505
1068;2018-12-05;14298524
1069;2018-12-06;14360585
1070;2018-12-07;14675155
1071;2018-12-08;3714443
1072;2018-12-09;2295720
